City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
128,Komsomolskiy,40.4272,71.7189,30.92,93,100,4.61,UZ,2022-01-31 04:53:03,fog
129,Saint George,37.1041,-113.5841,45.54,35,0,1.99,US,2022-01-31 04:46:02,clear sky
130,Norman Wells,65.282,-126.8329,-21.96,69,75,2.3,CA,2022-01-31 04:53:04,light snow
131,Tautira,-17.7333,-149.15,82.42,77,89,15.35,PF,2022-01-31 04:53:04,overcast clouds
132,Touros,-5.1989,-35.4608,79.7,83,10,11.12,BR,2022-01-31 04:53:04,clear sky
133,Severo-Yeniseyskiy,60.3725,93.0408,6.57,90,99,2.53,RU,2022-01-31 04:53:05,overcast clouds
134,Khatanga,71.9667,102.5,-6.12,99,98,7.14,RU,2022-01-31 04:53:05,overcast clouds
135,Faanui,-16.4833,-151.75,80.78,71,3,9.13,PF,2022-01-31 04:53:05,clear sky
136,Mount Gambier,-37.8333,140.7667,89.51,20,2,17.27,AU,2022-01-31 04:54:06,clear sky
137,Bundaberg,-24.85,152.35,89.22,56,100,5.99,AU,2022-01-31 04:54:06,overcast clouds
138,Oloron-Sainte-Marie,43.1944,-0.6107,43.34,93,78,1.83,FR,2022-01-31 04:54:06,broken clouds
139,Turukhansk,65.8167,87.9833,0.43,93,99,12.33,RU,2022-01-31 04:54:07,overcast clouds
140,Angoche,-16.2325,39.9086,78.04,81,1,4.97,MZ,2022-01-31 04:52:34,clear sky
141,Oakdale,44.963,-92.9649,14.43,87,75,4.61,US,2022-01-31 04:54:07,broken clouds
142,Port Macquarie,-31.4333,152.9167,82.36,71,27,8.81,AU,2022-01-31 04:54:08,scattered clouds
143,Lata,40.1629,-8.3327,37.81,52,22,3.65,PT,2022-01-31 04:52:26,few clouds
144,Victoria,22.2855,114.1577,59.32,73,96,1.99,HK,2022-01-31 04:45:50,overcast clouds
145,Vestmanna,62.1564,-7.1664,31.12,64,75,25.32,FO,2022-01-31 04:54:08,light snow
146,Kapaa,22.0752,-159.319,73.11,74,13,4.38,US,2022-01-31 04:54:08,few clouds
147,Coari,-4.085,-63.1414,72.3,98,100,2.51,BR,2022-01-31 04:54:09,overcast clouds
148,Koidu,8.4167,-10.8333,62.94,56,1,1.07,SL,2022-01-31 04:54:09,clear sky
149,Airai,-8.9266,125.4092,70.74,67,92,7.83,TL,2022-01-31 04:54:09,overcast clouds
150,Margate,51.3813,1.3862,44.74,70,55,11.01,GB,2022-01-31 04:54:10,broken clouds
151,Preobrazheniye,42.9019,133.9064,21.51,40,3,7.52,RU,2022-01-31 04:54:10,clear sky
152,Praia Da Vitoria,38.7333,-27.0667,59.25,82,75,24.25,PT,2022-01-31 04:54:10,broken clouds
153,Seminole,28.7086,-81.2081,43.27,73,0,4.76,US,2022-01-31 04:54:11,clear sky
154,Cabo San Lucas,22.8909,-109.9124,70.52,76,87,1.45,MX,2022-01-31 04:50:58,overcast clouds
155,Bastrop,32.7562,-91.8724,42.42,65,3,5.48,US,2022-01-31 04:54:11,clear sky
156,Lebu,-37.6167,-73.65,55.8,75,0,20.02,CL,2022-01-31 04:54:12,clear sky
157,Bambanglipuro,-7.95,110.2833,78.6,68,82,9.24,ID,2022-01-31 04:54:12,broken clouds
158,Paamiut,61.994,-49.6678,27.03,97,100,4.18,GL,2022-01-31 04:54:12,snow
159,Sinnamary,5.3833,-52.95,75.83,88,81,10.36,GF,2022-01-31 04:49:55,broken clouds
160,Talnakh,69.4865,88.3972,-14.15,92,88,9.44,RU,2022-01-31 04:54:13,overcast clouds
161,Havoysund,70.9963,24.6622,30.43,76,100,16.87,NO,2022-01-31 04:54:13,light snow
162,Kitimat,54.0524,-128.6534,35.98,98,100,1.79,CA,2022-01-31 04:54:14,overcast clouds
163,Vao,-22.6667,167.4833,79.63,79,65,3.8,NC,2022-01-31 04:54:14,light rain
164,Vila Velha,-20.3297,-40.2925,78.75,92,20,2.3,BR,2022-01-31 04:54:14,few clouds
165,Hithadhoo,-0.6,73.0833,82.47,70,6,10.71,MV,2022-01-31 04:54:15,clear sky
166,Bougouni,11.417,-7.479,70.21,17,15,5.93,ML,2022-01-31 04:54:15,few clouds
167,Ostrovnoy,68.0531,39.5131,6.12,95,85,8.95,RU,2022-01-31 04:54:16,overcast clouds
168,Kavieng,-2.5744,150.7967,83.59,69,93,2.35,PG,2022-01-31 04:54:16,light rain
169,Tocopilla,-22.092,-70.1979,66.36,72,17,0.43,CL,2022-01-31 04:54:16,few clouds
